,d18Oc,sigmaT,time,depth,lon,lat,species,species_idx,y_hat,residuals
0,-2.0579904291771864,21.80642648422297,LGM,-5.0,-167.5,-7.5,ruber,0,21.519306251213628,-0.2871202330093432
1,-2.0845857832573866,21.80642648422297,LGM,-5.0,-167.5,-7.5,sacculifer,1,21.893437034994946,0.08701055077197495
2,-0.5027098353515114,23.44176742704002,LGM,-5.0,-158.5,21.5,ruber,0,24.493343279316644,1.051575852276624
3,1.6364290542220719,25.526082016238217,LGM,-5.0,-149.5,54.5,bulloides,2,26.918420748519964,1.3923387322817469
4,2.34478948003087,25.526082016238217,LGM,-5.0,-149.5,54.5,pachy_s,4,27.08977228503335,1.5636902687951348
5,1.6343563924954592,25.56134247056086,LGM,-5.0,-148.5,54.5,bulloides,2,26.93383737759303,1.37249490703217
6,2.292690500533781,25.56134247056086,LGM,-5.0,-148.5,54.5,pachy_s,4,27.084180906362647,1.5228384358017877
7,3.1636086049692587,27.16286064280082,LGM,-5.0,-119.5,-54.5,pachy_s,4,27.309260933109005,0.14640029030818624
8,3.2411714806681013,27.223663314808817,LGM,-5.0,-114.5,-55.5,pachy_s,4,27.323020283055573,0.09935696824675588
9,-1.560404941273133,22.422183017216447,LGM,-5.0,-106.5,-5.5,ruber,0,22.48058751172294,0.058404494506493876
10,-1.7079575614139997,22.422183017216447,LGM,-5.0,-106.5,-5.5,sacculifer,1,22.543279753680554,0.12109673646410712
11,-1.1182554997503753,23.289013767065967,LGM,-5.0,-106.5,-0.5,sacculifer,1,23.565326297943916,0.2763125308779486
12,-1.44524132809992,22.86438384107821,LGM,-5.0,-97.5,-9.5,sacculifer,1,22.99422011365929,0.12983627258107688
13,-0.8633607469179999,23.40224522529645,LGM,-5.0,-93.5,0.5,ruber,0,23.805841655377428,0.40359643008097734
14,-0.8573031558393323,23.40843651521515,LGM,-5.0,-92.5,0.5,ruber,0,23.824459041228803,0.4160225260136521
15,-1.1987910792092844,22.795405879699334,LGM,-5.0,-90.5,2.5,ruber,0,23.1864271014423,0.39102122174296383
16,-1.3396892186316736,22.795405879699334,LGM,-5.0,-90.5,2.5,sacculifer,1,23.177155734544247,0.3817498548449123
17,-0.8214039075529997,23.42543512413263,LGM,-5.0,-89.5,-1.5,ruber,0,23.890048028417457,0.46461290428482727
18,-0.852348288795191,23.42543512413263,LGM,-5.0,-89.5,-1.5,sacculifer,1,24.035303932185286,0.6098688080526564
19,-1.195481912383823,22.78562535251262,LGM,-5.0,-89.5,2.5,ruber,0,23.165496806583906,0.3798714540712851
20,-1.314807049943974,22.78562535251262,LGM,-5.0,-89.5,2.5,sacculifer,1,23.21807821431836,0.4324528618057393
21,-1.1893330422859645,22.752051276793974,LGM,-5.0,-87.5,2.5,ruber,0,23.178195801684605,0.42614452489063126
22,-1.2553557621478182,22.752051276793974,LGM,-5.0,-87.5,2.5,sacculifer,1,23.332978047462404,0.5809267706684302
23,-1.5900260934283619,22.53078750452527,LGM,-5.0,-87.5,5.5,sacculifer,1,22.7528443920644,0.22205688753912867
