,d18Oc,sigmaT,time,depth,lon,lat,species,species_idx,y_hat,residuals
0,-2.3971273459535736,21.525336908015454,PI,-5.0,-167.5,-7.5,ruber,0,21.37643194546658,-0.14890496254887253
1,-2.4230878684995782,21.525336908015454,PI,-5.0,-167.5,-7.5,sacculifer,1,21.64787707709844,0.12254016908298482
2,-0.9553094879208985,23.171145118495375,PI,-5.0,-158.5,21.5,ruber,0,23.904169277876253,0.7330241593808786
3,1.2557070648204003,25.328791148420027,PI,-5.0,-149.5,54.5,bulloides,2,26.572080803294735,1.243289654874708
4,1.9752829313500175,25.328791148420027,PI,-5.0,-149.5,54.5,pachy_s,4,26.862397593378788,1.5336064449587603
5,1.252548505474068,25.336699727881243,PI,-5.0,-148.5,54.5,bulloides,2,26.568991575391266,1.232291847510023
6,1.9459063737086062,25.336699727881243,PI,-5.0,-148.5,54.5,pachy_s,4,26.873712226963747,1.537012499082504
7,2.1541311534423397,26.686857479107346,PI,-5.0,-119.5,-54.5,pachy_s,4,26.853553313489947,0.16669583438260105
8,2.2333015181276825,26.772094257479413,PI,-5.0,-114.5,-55.5,pachy_s,4,26.857448311118624,0.085354053639211
9,-1.8827197511768854,22.203986717783067,PI,-5.0,-106.5,-5.5,ruber,0,22.26997924072282,0.06599252293975155
10,-2.0375603883626057,22.203986717783067,PI,-5.0,-106.5,-5.5,sacculifer,1,22.290450059086357,0.08646334130328981
11,-1.5921752154827116,22.79261331235932,PI,-5.0,-106.5,-0.5,sacculifer,1,23.03201124819703,0.23939793583770808
12,-1.9153127903378877,22.549505308250332,PI,-5.0,-97.5,-9.5,sacculifer,1,22.49197916080084,-0.05752614744949014
13,-1.2870245634177546,22.82368768911075,PI,-5.0,-93.5,0.5,ruber,0,23.311787890560684,0.48810020144993516
14,-1.2779332957676228,22.822172441884913,PI,-5.0,-92.5,0.5,ruber,0,23.335347953685044,0.5131755118001315
15,-1.373967995523739,23.781699714563768,PI,-5.0,-91.5,26.5,ruber,0,23.161880706905187,-0.619819007658581
16,-1.583663730148499,22.272789057839553,PI,-5.0,-90.5,2.5,ruber,0,22.799550577236666,0.5267615193971125
17,-1.7762613090611956,22.272789057839553,PI,-5.0,-90.5,2.5,sacculifer,1,22.73389003542169,0.46110097758213797
18,-1.2063352869098638,22.861053281593765,PI,-5.0,-89.5,-1.5,ruber,0,23.45886374380957,0.5978104622158043
19,-1.3128026849286738,22.861053281593765,PI,-5.0,-89.5,-1.5,sacculifer,1,23.493247831447857,0.6321945498540913
20,-1.571082843027082,22.262895178575793,PI,-5.0,-89.5,2.5,ruber,0,22.809683188616656,0.5467880100408635
21,-1.7482966534252307,22.262895178575793,PI,-5.0,-89.5,2.5,sacculifer,1,22.766358200898814,0.5034630223230216
22,-1.5480265474741264,22.231431651361273,PI,-5.0,-87.5,2.5,ruber,0,22.86300241094767,0.6315707595863955
23,-1.692604153848896,22.231431651361273,PI,-5.0,-87.5,2.5,sacculifer,1,22.85950121836524,0.6280695670039655
24,-1.9330746545915942,22.25155722958661,PI,-5.0,-87.5,5.5,sacculifer,1,22.464870833521484,0.21331360393487486
25,-1.2205363792858084,22.76840649727459,PI,-5.0,-86.5,-2.5,ruber,0,23.435618634312128,0.6672121370375379
26,-1.308880479031656,22.76840649727459,PI,-5.0,-86.5,-2.5,sacculifer,1,23.509631242516445,0.7412247452418548
27,-1.1827775744419526,22.83157163739497,PI,-5.0,-86.5,-1.5,ruber,0,23.496475768193076,0.6649041307981065
28,-1.2462724178086002,22.83157163739497,PI,-5.0,-86.5,-1.5,sacculifer,1,23.614939555254303,0.7833679178593336
29,-1.1404411494731905,22.92186545571107,PI,-5.0,-85.5,-1.5,ruber,0,23.57273520363061,0.6508697479195398
30,-1.186200825695219,22.92186545571107,PI,-5.0,-85.5,-1.5,sacculifer,1,23.709783278717786,0.7879178230067154
31,-1.130573078129766,22.94801627219368,PI,-5.0,-84.5,-2.5,ruber,0,23.59061354426478,0.6425972720711002
32,-1.1744044555743085,22.94801627219368,PI,-5.0,-84.5,-2.5,sacculifer,1,23.728939294339803,0.7809230221461227
33,-1.7740546130823236,23.08613309045014,PI,-5.0,-83.5,24.5,ruber,0,22.46846293099271,-0.617670159457429
34,0.6776934166610564,25.361137048204608,PI,-5.0,-79.5,-43.5,bulloides,2,25.833905028290136,0.47276798008552845
35,0.5900717738120906,25.361137048204608,PI,-5.0,-79.5,-43.5,pachy_d,3,25.932107329179562,0.5709702809749544
36,-2.1276348273181385,21.72468208300188,PI,-5.0,-79.5,13.5,ruber,0,21.85150316866412,0.1268210856622396
37,-2.120941399528993,21.965181706532857,PI,-5.0,-79.5,16.5,ruber,0,21.86159388920271,-0.10358781733014766
38,-2.3454407916388695,21.965181706532857,PI,-5.0,-79.5,16.5,sacculifer,1,21.782570660206044,-0.18261104632681224
39,-2.004419214898647,22.275224952634822,PI,-5.0,-79.5,17.5,ruber,0,22.05933580399399,-0.21588914864083364
40,-2.1907116682502803,22.275224952634822,PI,-5.0,-79.5,17.5,sacculifer,1,22.02987456210438,-0.24535039053044372
41,0.70720457932192,25.305059926604844,PI,-5.0,-78.5,-43.5,bulloides,2,25.86402060680749,0.5589606802026452
42,0.6178260355410844,25.305059926604844,PI,-5.0,-78.5,-43.5,pachy_d,3,25.952814293799207,0.6477543671943629
43,-0.8354925622875683,23.90087240081631,PI,-5.0,-78.5,-17.5,bulloides,2,23.88660629615187,-0.014266104664439894
44,-1.941306346843585,21.878039456155495,PI,-5.0,-78.5,11.5,ruber,0,22.17126120737566,0.293221751220166
45,-2.043068078199135,21.728386753135158,PI,-5.0,-78.5,12.5,ruber,0,21.999087217804302,0.27070046466914377
46,-2.172607469936101,21.500230039769107,PI,-5.0,-78.5,14.5,ruber,0,21.7736327399204,0.2734027001512942
47,-2.081725409688008,21.916630709789594,PI,-5.0,-78.5,16.5,ruber,0,21.92692165817375,0.01029094838415645
48,-2.335171734709535,21.916630709789594,PI,-5.0,-78.5,16.5,sacculifer,1,21.797015555334177,-0.11961515445541693
49,-2.0130579412205485,21.69649271977841,PI,-5.0,-77.5,12.5,ruber,0,22.053677111717473,0.3571843919390645
50,-2.0455196020878446,21.910162646493973,PI,-5.0,-77.5,16.5,ruber,0,22.001133780861245,0.09097113436727255
51,-2.310239249323555,21.910162646493973,PI,-5.0,-77.5,16.5,sacculifer,1,21.8235082400327,-0.0866544064612711
52,-1.910734636657064,22.314455209970195,PI,-5.0,-77.5,17.5,ruber,0,22.228649077567656,-0.08580613240253854
53,-2.012323976728503,21.94577751664599,PI,-5.0,-76.5,16.5,ruber,0,22.04972061993148,0.10394310328549139
54,-2.2706433354809294,21.94577751664599,PI,-5.0,-76.5,16.5,sacculifer,1,21.906781456951066,-0.0389960596949237
55,-1.1464157638936063,24.040445423021275,PI,-5.0,-76.5,32.5,ruber,0,23.56378626143438,-0.4766591615868947
56,0.17905848005741462,25.008680785454256,PI,-5.0,-75.5,-41.5,bulloides,2,25.193380319078113,0.18469953362385638
57,0.1610414909972382,25.008680785454256,PI,-5.0,-75.5,-41.5,pachy_d,3,25.461959866068792,0.4532790806145357
58,-0.41145030467370386,25.119976321509935,PI,-5.0,-75.5,-25.5,bulloides,2,24.432250307067594,-0.6877260144423403
59,-1.2122547113140647,23.850985226141763,PI,-5.0,-75.5,31.5,ruber,0,23.45018104845968,-0.4008041776820832
60,-1.9439046226955217,21.706184647853714,PI,-5.0,-74.5,13.5,ruber,0,22.17177846198038,0.46559381412666667
61,-2.2655093573325176,21.706184647853714,PI,-5.0,-74.5,13.5,sacculifer,1,21.918518405251326,0.2123337573976123
62,-1.956989113178999,22.0419002965137,PI,-5.0,-74.5,16.5,ruber,0,22.149037852873022,0.10713755635932287
63,-2.202099519068968,22.0419002965137,PI,-5.0,-74.5,16.5,sacculifer,1,22.01756990490512,-0.024330391608579305
64,-1.375763418177208,23.390079429556955,PI,-5.0,-74.5,21.5,ruber,0,23.155890630727967,-0.23418879882898835
65,-1.5019000429569893,23.390079429556955,PI,-5.0,-74.5,21.5,sacculifer,1,23.181745194945286,-0.20833423461166944
66,-1.9540682072080047,21.989253894201862,PI,-5.0,-72.5,15.5,ruber,0,22.149479375586242,0.16022548138437998
67,-2.229652296897419,21.989253894201862,PI,-5.0,-72.5,15.5,sacculifer,1,21.977064251541098,-0.012189642660764832
68,-1.934823411137032,22.21270219507241,PI,-5.0,-72.5,16.5,ruber,0,22.18095884329673,-0.031743351775681106
69,-2.1654997364768764,22.21270219507241,PI,-5.0,-72.5,16.5,sacculifer,1,22.07886301967468,-0.13383917539772838
70,-1.9443665914917345,22.04948637300158,PI,-5.0,-71.5,15.5,ruber,0,22.166866627585904,0.11738025458432233
