,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
Poly2ESF,0,-2082.0157754313846,251.56981426861688,0.0,0.8597538517390257,107.1900129434049,0.0,True,log
LinearESF,1,-2199.969602777305,238.9179804103465,117.95382734592084,0.11396079043287594,117.82715357283853,26.677451466728947,True,log
Poly2,2,-3119.447588524181,89.70456534402325,1037.4318130927963,0.011452492047537345,50.974526401351646,88.45563718818667,True,log
Linear,3,-3815.1796075375714,25.086292664817222,1733.1638321061869,0.014832865780560978,36.12121468813373,94.3122831637593,False,log
