,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Poly2ESF,0,-2088.791198087677,258.3452369249094,0.0,0.9994162830592652,105.05024970135413,0.0,True,log
LinearESF,1,-2207.3134154084455,246.26179304148695,118.5222173207689,0.0,115.6769896679893,26.577066703262165,True,log
Poly2,2,-3119.8023349688688,90.05931178871151,1031.0111368811918,0.0005770636611625981,51.00342606513295,85.84535839310323,False,log
Linear,3,-3815.202628605693,25.109313732938517,1726.411430518016,6.653279572166326e-06,36.122596665826194,91.87657245593022,False,log
