,sigmaT,d18Oc,lon,lat,species,species_idx,y_hat,residuals
93,25.138752937316895,0.03,-73.5,-29.5,pachy_d,3,25.5777871271992,0.4390341898823067
94,25.259029388427734,-0.52,-72.5,-35.5,bulloides,2,24.949821330630765,-0.3092080577969689
95,25.259740829467773,2.535,-72.5,-33.5,bulloides,2,27.126197407305508,1.8664565778377344
96,25.259740829467773,0.63,-72.5,-33.5,pachy_d,3,26.125741065068606,0.8660002356008327
97,25.23076295852661,-0.31,-72.5,-32.5,bulloides,2,25.192620716981192,-0.0381422415454189
98,25.23076295852661,0.04666666666666667,-72.5,-32.5,pachy_d,3,25.59383405189428,0.36307109336766885
99,25.225581645965576,-0.38,-72.5,-30.5,bulloides,2,25.1280938627452,-0.09748778322037666
100,25.225581645965576,0.08,-72.5,-30.5,pachy_d,3,25.62469081767931,0.3991091717137323
101,22.972713947296143,-1.745,-72.5,15.5,ruber,0,23.147672253687464,0.17495830639132137
102,22.972713947296143,-1.39,-72.5,15.5,sacculifer,1,23.725482129332608,0.7527681820364656
103,22.920390129089355,-1.7850000000000001,-72.5,16.5,ruber,0,23.100253403979533,0.1798632748901774
104,22.920390129089355,-1.58,-72.5,16.5,sacculifer,1,23.442112869516283,0.5217227404269273
105,25.259740829467773,2.64,-71.5,-33.5,bulloides,2,27.135685292620416,1.875944463152642
106,25.259740829467773,0.08,-71.5,-33.5,pachy_d,3,25.64943689439205,0.38969606492427644
107,25.225581645965576,-0.24,-71.5,-30.5,bulloides,2,25.2685905527495,0.04300890678392477
108,25.225581645965576,0.52,-71.5,-30.5,pachy_d,3,26.04624742455294,0.8206657785873652
109,25.19202947616577,-0.3183333333333333,-71.5,-27.5,bulloides,2,25.19307614094857,0.0010466647827982456
110,25.19202947616577,0.325,-71.5,-27.5,pachy_d,3,25.87363353149064,0.6816040553248683
111,22.93754529953003,-2.13055666666666,-71.5,15.5,ruber,0,22.49369578458197,-0.44384951494805946
112,22.887398719787598,-1.905,-71.5,16.5,ruber,0,22.88852048514188,0.0011217653542807682
113,22.887398719787598,-1.37,-71.5,16.5,sacculifer,1,23.769244266195557,0.8818455464079591
114,22.861824989318848,-1.83,-71.5,17.5,ruber,0,23.004825244302147,0.14300025498329916
115,22.861824989318848,-1.63,-71.5,17.5,sacculifer,1,23.35685366226811,0.4950286729492639
116,22.858398914337158,-2.005,-70.5,16.5,ruber,0,22.718165832541306,-0.14023308179585214
117,22.858398914337158,-1.42,-70.5,16.5,sacculifer,1,23.699862853183102,0.8414639388459442
118,22.82128095626831,-1.755,-68.5,15.5,ruber,0,23.132978270146427,0.31169731387811694
119,22.82128095626831,-1.25,-68.5,15.5,sacculifer,1,23.943974561367906,1.1226936050995953
120,22.86649990081787,-1.9975,-67.5,17.5,ruber,0,22.719420891552787,-0.14707900926508444
121,22.86649990081787,-1.605,-67.5,17.5,sacculifer,1,23.37489681610034,0.5083969152824679
122,23.17236328125,-1.97,-66.5,11.5,ruber,0,22.769397172763473,-0.4029661084865275
