,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
Poly2ESF,0,-1043.4064153416862,74.43308264489542,0.0,0.9464027442708207,50.92814122930089,0.0,True,log
LinearESF,1,-1043.7069519788365,75.06440242567194,0.30053663715033174,0.0,50.655519651765026,1.7568505755400112,True,log
Poly2,2,-1309.1034018476175,42.546278610083334,265.69698650593136,0.053597255729279,33.789032644895364,29.758182309217666,True,log
Linear,3,-1323.8651994130598,37.99024443611314,280.45878407137343,0.0,33.2175676104919,30.408333208556805,True,log
