,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
LinearESF,0,-1047.0021336250402,78.35958407187559,0.0,2.540245426215549e-14,50.83910618425656,0.0,True,log
Poly2ESF,1,-1047.3674640868803,78.39413139008946,0.36533046184027285,0.944802469911576,51.34331702710361,1.9083794905350129,True,log
Poly2,2,-1309.241096645345,42.683973407810754,262.2389630203047,0.05519753008840451,33.80870303763596,29.43381699991965,False,log
Linear,3,-1323.9514134416836,38.07645846473724,276.94927981664347,0.0,33.217518772710925,30.219124651247867,False,log
