lat,lon,species,d18Oc,sigmaT,cluster,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,d18Oc_stdev
33.19,-9.83,"G, ruber",-1.11,26.002904891967773,152,0.0338382373252423,0.0437721553477195,0.0785188967634541,0.0153048169279755,-0.0022370885636817,0.0072172763805943,0.0144577608145168,-0.014991878831664,-0.0058302525325936,0.0527559823207473,-0.0185043250616484,0.0224919633593791,-0.0488278204246604,-0.0365469845472059,0.0617866150917138,-0.0130420544369082,-0.0309395493016274,0.0507368217206601,0.0125190222024162,-0.0822958501805944,0.0166311478740355,0.0154177429981722,-0.0009201640765285,-0.0121892623686578,0.0429909090223388,0.0193302462621624,0.0193939091878967,-0.027642867099452,0.0230954052250228,0.0092282754611576,-0.0223307620020132,-0.0203877751419461,-0.0138722151426607,0.0128047201919384,-0.0147924112412444,-0.0088866219388766,-0.0787023121191706,0.0263905823839243,-0.009208554370915,0.0559981414015732,-0.0509374699431542,0.0749387474078883,0.0465158854935118,-0.0022101460725711,0.0199955944380987,-0.0126626607362194,-0.0201935544664733,-0.0024604358799027,-0.017993908735599,0.0059584725231735,0.0332823985783509,-0.0033947187693807,0.0083880239711618,-0.0171841031904786,0.0327062617863149,-0.0191830206019566,-0.0037642625478776,0.0097012847777478,0.1
15.4,-17.28,"G, ruber",-2.02,24.13521385192871,173,0.0468155306945853,0.0406571100053696,0.010693798162193,0.0385895374075233,0.0246440204459958,0.0325049288185337,0.075443492755018,-0.0056888362461388,-0.0045258936720492,0.0711685759708661,0.011599878496441,-0.0024181179893263,0.0490733579817254,0.0122656636200944,-0.0310746431625742,-0.0067728146158824,-0.003781866182247,-0.039691342818726,0.0317634701841386,0.0795410800063547,-0.0053179893314124,-0.0220011698992158,-0.0175488618503654,-0.0048804587881593,-0.0404356073881569,-0.0293916803750225,0.0119835633635685,0.0104078006576993,-0.0059493543734415,-0.0064559248175278,-0.0019908935363262,0.0097810819133995,0.0053411090968492,-0.004046920986732,0.0076655358637695,0.0156826397669904,0.00445205322859,0.0113024671029367,-0.0008025194875631,0.0258137336751589,-0.0146335129170332,0.0166765428887699,0.0204000885359097,0.0159548071598433,-0.0029540314780968,0.0045306401693468,-0.000537254328553,0.0275885191163699,0.0187298372311092,-0.0115511220120106,-0.0270017195111667,0.0085707140915341,0.0013904811549121,0.0348166421569997,-0.0189405670050278,0.0142642626666479,0.0309648381839095,-0.0037594528458086,0.1
15.38,-17.25,"G, ruber",-2.12,24.1925106048584,173,0.0467902801518975,0.0407351198207239,0.01062761673994,0.0385908389640265,0.0245537811365329,0.0325464246830402,0.0754474697269306,-0.0058753849052913,-0.0045650300012634,0.0712751629915521,0.0116754174114935,-0.0021273521296139,0.048904191609047,0.0123334861585201,-0.031024515171726,-0.0067622284243497,-0.0035641653635659,-0.0392610908523799,0.0319741444794907,0.0795185885453992,-0.0051965921226804,-0.0220018435779878,-0.0177657183677603,-0.0052204265812532,-0.0402489955673025,-0.0293671949966571,0.0119607101479162,0.0105612430322174,-0.0059124435011576,-0.0065796626027714,-0.0019592331606895,0.0097604237035607,0.0052621277266279,-0.0040112951502318,0.0077228452787857,0.0158602681435467,0.0044622097941147,0.0113776788331408,-0.0006238112842836,0.026269610455392,-0.0143769142065335,0.0168087914861188,0.0203910939853594,0.0159790630809296,-0.0026938128644701,0.0046131162187993,-0.0005013172266402,0.0275664408343141,0.0184728282345223,-0.0111789290247976,-0.0272818845440923,0.0089077272925013,0.0015336591533717,0.0353378767906542,-0.0192888162422755,0.0146623299662794,0.0316275271237904,-0.0039124925356099,0.1
15.38,-17.2,"G, ruber",-2.16,24.1925106048584,173,0.0467432835951559,0.0408517313678032,0.0106440760557853,0.038558674032874,0.0244150186486724,0.0326144307559711,0.0754180269248041,-0.0061442112451926,-0.0045886082371623,0.0716105730628562,0.011629239084547,-0.0015522489467329,0.0484112941929244,0.012278114841502,-0.0307483196194367,-0.0066698528359975,-0.0031490885717681,-0.0385283417100519,0.0323820969837816,0.0794001434372946,-0.004943253329639,-0.0218615398275779,-0.0181879738949633,-0.0057792992225385,-0.0401380614964093,-0.0293881548237696,0.0119154017498587,0.010707915067075,-0.0056354992664753,-0.0067371295079431,-0.0019218281738542,0.0099165116149365,0.0050227673673734,-0.0037406649232382,0.0077433360077952,0.0160556419550775,0.0045545181028571,0.0113487829252459,-0.0002791480976909,0.0269578416086498,-0.0138425792591072,0.0169967811271819,0.0203670661493738,0.0159056219900973,-0.0021422037543238,0.0047867789400776,-0.0004947269634963,0.0274635834459188,0.0179478302536304,-0.0104927513477936,-0.0278137224492408,0.0096858883974609,0.0018291467416121,0.0363543753078164,-0.0199731904051596,0.0151381708395008,0.0326196235684684,-0.0041448899302139,0.1
15.35,-17.19,"G, ruber",-2.31,24.1925106048584,173,0.0467382208833737,0.0408870658899025,0.0105332777831963,0.0385828937447664,0.0243769044442962,0.0326293606095463,0.0754435006110642,-0.0062356261844567,-0.0046295823206465,0.0715350074484945,0.0117733693297843,-0.0015194852912344,0.0485022213532769,0.0124172747707787,-0.0308665403261025,-0.0067176966136404,-0.0031131254399221,-0.0383983128705142,0.0324119780773563,0.0794476629725059,-0.0049377059488619,-0.021959719855733,-0.0182155050590024,-0.0058966871250773,-0.0399373239496529,-0.0293382771183917,0.0119145143965578,0.0108340154525255,-0.0057735842950314,-0.006812629450532,-0.0019012010769282,0.0097792780327019,0.0050746139945337,-0.0038753473880631,0.0078161886577689,0.0161828391770139,0.0045048980491319,0.0114802700108012,-0.00025346108825,0.0271546065269674,-0.0138329064095342,0.0170621685509738,0.0203687742467645,0.0159913876475029,-0.0021388338503284,0.0047876448272967,-0.0004466308180244,0.0275017685775632,0.017931285551386,-0.0104172465179702,-0.0278588664316676,0.0096445382146359,0.0018367157895947,0.0364200692062018,-0.0200120286896088,0.0153967132944691,0.0329111793106345,-0.0042096167417582,0.1
15.34,-18.18,"G, ruber",-2.26,23.975141525268555,174,0.0476570528589586,0.0385671596400511,0.0101696382968052,0.0391911691206592,0.0271892576587453,0.0312635628617454,0.0758876764275521,-0.0008920442537368,-0.0039066664958145,0.0646985558520125,0.012487836084701,-0.0133983631012211,0.0583124418885996,0.0129208707944187,-0.0362645803042655,-0.0089997289975353,-0.0122685597470858,-0.0530256424801722,0.0233803650260278,0.0813567760817937,-0.0103305041683399,-0.024903017012634,-0.0093986968400378,0.0061099825479728,-0.0414422521941483,-0.0285664912785951,0.0129065682680113,0.0078437140237282,-0.0116892964026269,-0.0035175154086266,-0.0023362640293772,0.0061961540019681,0.0104390328719095,-0.0102190780844454,0.0071630564654174,0.0117960647775606,0.0030919834644253,0.011882341971535,-0.0075421619501013,0.0120648171530382,-0.024809530956946,0.0124293640431466,0.0204592724119521,0.0174393180922484,-0.0139197003743256,0.0010789816542285,-0.0004817338043537,0.029193475134634,0.0288565049945243,-0.0248897045785223,-0.0161963021145686,-0.0071958601570337,-0.0042143855495367,0.0139573175699641,-0.0050097585593926,0.0053987356750989,0.0114630311582705,0.0007306913298371,0.1
15.32,-17.06,"G, ruber",-2.48,24.1925106048584,173,0.0466199578633659,0.0412019347131687,0.0104619797389325,0.0385286574255536,0.0240072617025476,0.0328082977721094,0.0753932793257293,-0.0069711044503991,-0.0047193559007601,0.0722610180972064,0.0117990516232499,-0.0001154123972296,0.0474096876715221,0.0124112134894552,-0.0303216324523342,-0.0065460420291499,-0.002092530897144,-0.0365202559329261,0.0334078263062948,0.079201778797001,-0.0043261464057327,-0.0217197246531846,-0.0192440674739811,-0.0073393310991453,-0.03946851738113,-0.0293404414814363,0.0118121832123726,0.0113059076122499,-0.005250073085508,-0.0072641245609549,-0.0017898314850471,0.0100216142113843,0.0045693450831932,-0.003367588661775,0.0079395182249707,0.016764385945084,0.0046814605505568,0.0115345615441393,0.0005901669999187,0.0289682045941738,-0.0125504092156175,0.0175635901796544,0.0203034081729738,0.0158936801304781,-0.0008243670540622,0.0051977598444989,-0.0003863052743693,0.0272868732441729,0.0166664973364765,-0.0087145755383074,-0.0291574676666736,0.0114467435587191,0.0025503165794487,0.0388821854073125,-0.0216605709485331,0.0167706616011465,0.0355342769181177,-0.0048204092968419,0.1
21.15,-18.57,"G, ruber",-1.51,25.485231399536133,171,0.0467841449404441,0.0350304606131684,0.0320099057347437,0.0330075720337856,0.0271832126550013,0.0296243128455468,0.0646413422733308,0.0086539647620383,0.0007862990883297,0.0829832906221993,-0.0208601456026092,0.0009115301700309,0.0185429841845479,-0.0184723666082068,0.0062953758761968,-0.0011787272498528,-0.0121675703399226,-0.0388496812584582,0.0206225146981667,0.0445019839474906,-0.0034519484675721,0.0006816213975553,-0.0116890359201138,0.0169424757651811,-0.055883395236374,-0.0248230815732939,0.0050435649980413,-0.0069224490299097,0.0164210325786275,0.0065114610574943,0.0028202862026268,0.025800207974069,-0.0099104659505537,0.0131023034604576,-0.0128869291128553,-0.0125604780717604,0.0179510328926083,-0.0132591727446661,-0.002864379719347,-0.0224398936079723,0.0013145660555011,-0.0107500218295289,0.0054989001941425,0.000834389577674,-0.0047325631294553,0.0048834718816128,0.0040492159912833,0.0083601287414555,0.0137443020111234,-0.0097337933511866,-0.0220284306956082,0.0141885944108049,-0.0001319977688989,0.0178301897182475,-0.0155596613872338,-0.012786047766311,-0.0113436987026158,0.0021612881972184,0.1
23.13,-17.74,"G, ruber",-1.16,25.896987915039062,154,0.0454623818656068,0.0358218969344266,0.0396836061977522,0.0303536163583943,0.0234156021014437,0.0284812914672414,0.0588497651361704,0.0065124195217569,0.0003824695683594,0.0907104660944871,-0.0327189188351027,0.0128798447519469,-0.0056098105206903,-0.0357484685041191,0.0331339082977708,-0.0087548004536283,-0.0220805974565976,-0.0068783458078369,0.0113005760433748,0.0157117179948894,-0.0039573728853545,0.0070572102736158,-0.0169432204789353,0.0215375842869088,-0.033442137669997,-0.0081930126886024,-0.0028691227191769,-0.0048724342115898,0.0199650351178556,0.0093396037313417,0.014639658774055,0.0150329001830472,-0.0204783292373639,0.0014834850788681,-0.0294535687564342,-0.0196335658580622,0.0315351860459528,-0.0195473370286144,0.0013731858802658,-0.0348865784506581,0.0219964190422133,-0.0295881677540116,-0.0065446878641841,0.000239600866101,-0.0041072656071758,0.0081640535302819,0.0172314858899145,-0.0082574495529204,0.0037358488841169,0.006194851196467,-0.0253130199135235,0.0156955632859291,0.0048443976710801,0.0111164078726779,-0.0206736263989616,0.0059141011362575,-0.0016005223163834,-0.0048014153463647,0.1
23.04,-17.41,"G, ruber",-1.16,25.960020065307617,154,0.045192583618116,0.0366076930569555,0.0394549127688185,0.0303004162187121,0.0227003225308837,0.0286495514980958,0.0591465540641775,0.0046539844645631,7.316587400364898e-05,0.092353296445684,-0.0322387625995013,0.0152595194607059,-0.0078281599150349,-0.0365903177834296,0.0345474231642601,-0.0100326530076902,-0.0221750567823655,-0.0020371738232104,0.0117153747798465,0.015423443630515,-0.004144929386136,0.0065837079222625,-0.0196343708528497,0.0198046781591624,-0.0304756752716975,-0.0068083807234749,-0.0034897068998025,-0.0037322826490882,0.0202242512892807,0.0088660734660274,0.015832525074836,0.0130776316043728,-0.0217880253245504,-0.0001716407573218,-0.030572244135199,-0.0181575046135015,0.0329398337150408,-0.01903321862398,0.0026378389102879,-0.0308019035811301,0.0240068260111848,-0.0290643075438819,-0.0058625671188519,0.0010004988202265,-0.0026029225633269,0.0091961387819633,0.0175352115122405,-0.008824658970204,0.0014665913405994,0.0085536106380579,-0.0265689006857619,0.0176956219290445,0.0063466882738048,0.0134765817757972,-0.0231181877602352,0.0092832051932714,0.0035932165358277,-0.0062599413969301,0.1
