d18Oc	species
0,22	bulloides
-2,56	ruber
-2,50	ruber
0,48	bulloides
-0,06	pachy_s
-2,60	ruber
-2,61	ruber
-2,60	ruber
-2,30	ruber
-1,15	sacculifer
1,27	pachy_d
-1,86	ruber
-2,06	ruber
0,50	bulloides
1,99	bulloides
2,28	pachy_s
2,57	bulloides
2,49	pachy_s
2,20	pachy_s
-2,18	ruber
-1,85	ruber
-1,82	ruber
-1,26	ruber
-1,22	bulloides
-1,32	ruber
3,19	pachy_s
2,89	pachy_s
3,86	pachy_s
1,92	bulloides
-1,32	ruber
-1,54	ruber
-1,53	ruber
-1,23	sacculifer
-1,24	sacculifer
-2,66	ruber
-2,03	sacculifer
-2,03	sacculifer
2,76	pachy_s
-1,19	ruber
-1,52	ruber
-1,08	bulloides
2,17	pachy_s
2,61	pachy_s
2,31	pachy_s
0,95	bulloides
-2,50	sacculifer
-2,47	sacculifer
-2,56	ruber
-2,65	ruber
-2,60	sacculifer
-2,35	ruber
3,13	pachy_s
-3,14	ruber
-3,07	ruber
-2,96	ruber
-1,44	ruber
-2,08	ruber
-2,20	ruber
-1,67	ruber
-1,96	ruber
-1,91	ruber
-2,01	ruber
-2,17	ruber
-1,33	ruber
-2,34	sacculifer
0,13	bulloides
0,08	bulloides
0,08	bulloides
-0,01	bulloides
0,01	bulloides
0,32	bulloides
0,11	bulloides
0,67	bulloides
0,38	bulloides
0,80	pachy_s
1,89	pachy_s
0,95	bulloides
0,80	bulloides
0,15	bulloides
0,16	bulloides
0,11	bulloides
-1,86	bulloides
1,56	bulloides
-1,87	ruber
-2,21	ruber
-1,85	ruber
-1,37	ruber
-1,45	ruber
-1,45	ruber
-1,45	ruber
-1,54	ruber
3,52	pachy_s
-2,10	ruber
-2,14	ruber
-1,91	sacculifer
-1,63	ruber
-1,57	ruber
-1,29	sacculifer
-1,56	sacculifer
-1,47	sacculifer
-1,48	sacculifer
-1,55	sacculifer
-1,48	ruber
-1,61	ruber
-1,22	sacculifer
1,32	bulloides
2,21	pachy_s
1,91	pachy_s
2,33	pachy_s
2,52	pachy_s
2,33	pachy_s
-2,04	ruber
-1,95	ruber
-0,73	pachy_s
-2,09	ruber
-1,94	sacculifer
-1,56	ruber
-1,29	sacculifer
-1,46	sacculifer
-1,73	ruber
-1,46	sacculifer
-1,22	ruber
-1,61	sacculifer
-1,76	sacculifer
-2,33	ruber
2,74	pachy_s
-1,97	ruber
-1,92	ruber
-1,92	ruber
-1,48	ruber
2,21	pachy_s
1,91	pachy_s
2,37	pachy_s
-0,88	ruber
