lat,lon,species,d18Oc,sigmaT
34.93,-6.93,"G, bulloides",0.13,26.053560256958008
34.92,-6.85,"G, bulloides",0.02,26.053560256958008
34.89,-6.7,"G, bulloides",0.13,26.053560256958008
34.89,-6.67,"G, bulloides",0.18,26.053560256958008
34.87,-6.63,"G, bulloides",-0.17,26.053560256958008
34.87,-6.58,"G, bulloides",0.05,26.053560256958008
32.37,-9.65,"G, bulloides",-0.25,25.96808433532715
32.38,-9.77,"G, bulloides",-0.54,25.96808433532715
32.38,-9.78,"G, bulloides",-0.39,25.96808433532715
32.39,-9.8,"G, bulloides",-0.59,25.96808433532715
32.4,-9.81,"G, bulloides",-0.65,25.96808433532715
32.4,-9.82,"G, bulloides",-0.81,25.96808433532715
32.41,-9.85,"G, bulloides",-0.4,25.96808433532715
32.43,-9.87,"G, bulloides",-0.4,25.96808433532715
32.45,-9.96,"G, bulloides",-0.66,25.96808433532715
32.49,-10.11,"G, bulloides",-0.45,26.0189266204834
27.2,-14.66,"G, bulloides",-0.86,25.93079376220703
35.41,-29.42,"G, bulloides",0.7,25.727645874023438
20.99,-17.7,"G, bulloides",-0.2,25.64787483215332
20.99,-17.66,"G, bulloides",0.11,25.64787483215332
12.54,-17.59,"G, bulloides",-1.46,23.42820167541504
12.54,-17.56,"G, bulloides",-0.96,23.42820167541504
15.43,-17.34,"G, bulloides",-0.8,24.084266662597656
15.4,-17.28,"G, bulloides",-0.44,24.084266662597656
15.38,-17.25,"G, bulloides",-0.16,24.084266662597656
15.38,-17.2,"G, bulloides",-0.48,24.084266662597656
15.35,-17.19,"G, bulloides",-0.51,24.084266662597656
15.34,-18.18,"G, bulloides",-0.77,24.0985107421875
15.32,-17.06,"G, bulloides",-0.56,24.084266662597656
21.15,-18.57,"G, bulloides",-0.35,25.567590713500977
23.13,-17.74,"G, bulloides",-0.54,25.840805053710938
23.04,-17.41,"G, bulloides",-0.4,25.840805053710938
22.99,-17.33,"G, bulloides",-0.35,25.890233993530273
22.92,-17.22,"G, bulloides",-0.16,25.890233993530273
22.91,-17.19,"G, bulloides",-0.29,25.890233993530273
22.9,-17.16,"G, bulloides",-0.21,25.890233993530273
22.86,-17.15,"G, bulloides",-0.17,25.890233993530273
12.54,-17.6,"G, bulloides",-1.07,23.42820167541504
20.99,-17.68,"G, bulloides",-0.35,25.64787483215332
12.53,-17.62,"G, bulloides",-1.24,23.42820167541504
14.12,-17.52,"G, bulloides",-0.77,23.872346878051758
21.0,-17.62,"G, bulloides",-0.39,25.8304500579834
19.37,-19.93,"G, bulloides",-0.62,25.0504207611084
18.05,-18.07,"G, bulloides",-0.78,24.889272689819336
18.08,-18.01,"G, bulloides",-0.78,24.889272689819336
18.88,-16.74,"G, bulloides",-0.16,25.15909767150879
18.84,-18.77,"G, bulloides",0.15,24.889272689819336
18.73,-16.96,"G, bulloides",0.14,25.15909767150879
18.75,-16.83,"G, bulloides",-0.13,25.15909767150879
