,d18Oc,sigmaT,time,depth,lon,lat,species,species_idx,y_hat,residuals
0,2.8134380350343777,27.01380120582555,PI,-5.0,-119.5,-54.5,pachy_s,4,25.02110744402346,-1.9926937618020908
1,3.1069818366617232,27.17404376529321,PI,-5.0,-114.5,-55.5,pachy_s,4,24.712645618908812,-2.461398146384397
2,-2.27580070861891,21.216679989324987,PI,-5.0,-106.5,-5.5,ruber,0,21.565934623878317,0.34925463455332917
3,-2.45941207562079,21.216679989324987,PI,-5.0,-106.5,-5.5,sacculifer,1,21.428360713461647,0.2116807241366594
4,-2.6194337310071765,20.684233765153344,PI,-5.0,-97.5,-9.5,sacculifer,1,21.21044433305982,0.5262105679064746
5,-2.5045639075602457,20.83577015303173,PI,-5.0,-86.5,-2.5,ruber,0,21.256306987059567,0.4205368340278355
6,-2.6093120445086306,20.83577015303173,PI,-5.0,-86.5,-2.5,sacculifer,1,21.223225003000792,0.38745484996906043
7,-2.504243648363003,20.823369622718857,PI,-5.0,-86.5,-1.5,ruber,0,21.262307196189976,0.4389375734711187
8,-2.6133531851475467,20.823369622718857,PI,-5.0,-86.5,-1.5,sacculifer,1,21.21903666681455,0.395667044095692
9,-2.485699258370106,20.896137423488845,PI,-5.0,-85.5,-1.5,ruber,0,21.291538286540543,0.3954008630516981
10,-2.5945920138385707,20.896137423488845,PI,-5.0,-85.5,-1.5,sacculifer,1,21.245049867633675,0.3489124441448297
11,-2.4692176761351927,20.973127271575713,PI,-5.0,-84.5,-2.5,ruber,0,21.311796221847093,0.33866895027138
12,-2.5740048409174277,20.973127271575713,PI,-5.0,-84.5,-2.5,sacculifer,1,21.268525027002813,0.2953977554270999
13,-2.509586865342529,20.933131476488473,PI,-5.0,-84.5,8.5,ruber,0,21.257763788250784,0.32463231176231133
14,-1.1157688569534199,22.574862569392447,PI,-5.0,-83.5,24.5,ruber,0,23.120091554180245,0.5452289847877978
15,-2.4350390164545797,21.096385692338472,PI,-5.0,-82.5,-2.5,ruber,0,21.355015052647094,0.25862936030862116
16,-2.5314322670078813,21.096385692338472,PI,-5.0,-82.5,-2.5,sacculifer,1,21.328578671909238,0.23219297957076535
17,-2.436207413673401,21.07495546493655,PI,-5.0,-82.5,-0.5,ruber,0,21.352303393344975,0.2773479284084246
18,-2.541317105293274,21.07495546493655,PI,-5.0,-82.5,-0.5,sacculifer,1,21.316058703784414,0.2411032388478631
19,-2.2467471689707295,21.143447553826743,PI,-5.0,-81.5,10.5,ruber,0,21.600581937387908,0.457134383561165
20,0.8010427646297315,25.70283381080943,PI,-5.0,-79.5,-43.5,bulloides,2,25.19569976032275,-0.5071340504866804
21,0.7667014723716499,25.70283381080943,PI,-5.0,-79.5,-43.5,pachy_d,3,25.394977742951493,-0.3078560678579372
22,-2.0574013342737487,21.284569100356762,PI,-5.0,-79.5,13.5,ruber,0,21.858333798940745,0.5737646985839824
23,-1.9408637175346883,21.63057035116995,PI,-5.0,-79.5,16.5,ruber,0,22.019515233776577,0.3889448826066264
24,-2.0771082554782563,21.63057035116995,PI,-5.0,-79.5,16.5,sacculifer,1,21.927099594379946,0.29652924320999574
25,-1.8560103271260604,21.79688108631413,PI,-5.0,-79.5,17.5,ruber,0,22.127869472555147,0.33098838624101745
26,-1.976128686240265,21.79688108631413,PI,-5.0,-79.5,17.5,sacculifer,1,22.060072121688446,0.2631910353743159
