,sigmaT,d18Oc,lon,lat,species,species_idx,y_hat,residuals
0,22.432730674743652,-1.64,-167.5,-7.5,ruber,0,23.350926842692516,0.9181961679488637
1,22.432730674743652,-1.21,-167.5,-7.5,sacculifer,1,23.563230955214678,1.1305002804710256
2,23.212605476379395,-1.8483886,-158.5,21.5,ruber,0,23.0128345826681,-0.19977089371129608
3,25.40030527114868,2.28,-149.5,54.5,bulloides,2,27.182344485476335,1.7820392143276536
4,25.40030527114868,2.385,-149.5,54.5,pachy_s,4,26.91287599979985,1.5125707286511698
5,25.39438009262085,2.26,-148.5,54.5,bulloides,2,27.148697889420422,1.7543177967995724
6,25.39438009262085,2.25,-148.5,54.5,pachy_s,4,26.851028325467464,1.4566482328466144
7,24.581127166748047,-0.235,-120.5,34.5,bulloides,2,24.819136705566738,0.2380095388186909
8,24.581127166748047,0.4,-120.5,34.5,pachy_s,4,25.97872035741646,1.3975931906684131
9,26.536858081817627,2.3265,-119.5,-54.5,pachy_s,4,26.88725562604361,0.35039754422598435
10,24.380568027496338,0.305000005,-119.5,32.5,bulloides,2,25.328661187343332,0.9480931598469944
11,24.422617435455322,-0.12,-119.5,33.5,bulloides,2,24.9462431031666,0.5236256677112792
12,24.249270915985107,-0.5975,-118.5,31.5,bulloides,2,24.501601145824985,0.2523302298398775
13,26.57242202758789,2.28,-114.5,-55.5,bulloides,2,27.191796014143225,0.6193739865553347
14,26.57242202758789,2.56,-114.5,-55.5,pachy_s,4,26.99564764328544,0.42322561569755024
15,23.485012531280518,-1.61,-106.5,-5.5,ruber,0,23.390934984962097,-0.09407754631842025
16,23.485012531280518,-1.22,-106.5,-5.5,sacculifer,1,23.5491090529494,0.06409652166888336
17,23.117228507995605,-0.69,-106.5,-0.5,sacculifer,1,24.438223430367604,1.3209949223719981
18,23.86512517929077,-0.14,-97.5,-9.5,sacculifer,1,25.402359512213355,1.5372343329225835
19,22.878976345062256,-1.37,-93.5,0.5,ruber,0,23.793045707358683,0.9140693622964271
20,22.851552486419678,-1.56,-92.5,0.5,ruber,0,23.49361181659574,0.642059330176064
21,22.48902940750122,-1.59,-91.5,26.5,ruber,0,23.434016103626806,0.9449866961255857
22,21.973981857299805,-1.53,-91.5,27.5,ruber,0,23.540156567957236,1.5661747106574317
23,21.830985069274902,-2.04,-90.5,2.5,ruber,0,22.662459087595185,0.8314740183202822
24,21.830985069274902,-1.42,-90.5,2.5,sacculifer,1,23.199532531695624,1.3685474624207217
25,23.255507469177246,-1.6404999999999998,-89.5,-1.5,ruber,0,23.366299793422822,0.11079232424557617
26,23.255507469177246,-1.475,-89.5,-1.5,sacculifer,1,23.101236684851013,-0.15427078432623276
27,21.763540744781494,-1.88,-89.5,2.5,ruber,0,22.94070905487562,1.1771683100941246
28,21.763540744781494,-1.76,-89.5,2.5,sacculifer,1,22.60495326359842,0.8414125188169272
29,21.616250038146973,-2.66,-87.5,2.5,ruber,0,21.631388794139834,0.015138755992861519
30,21.616250038146973,-2.03,-87.5,2.5,sacculifer,1,22.169149860335477,0.552899822188504
31,21.175283908843994,-1.5,-87.5,5.5,sacculifer,1,23.062817037032367,1.8875331281883732
32,20.29079818725586,-1.27,-87.5,29.5,ruber,0,23.95958892969169,3.6687907424358315
33,23.42732000350952,-0.99,-86.5,-2.5,ruber,0,24.4400235467287,1.0127035432191782
34,23.42732000350952,-0.135,-86.5,-2.5,sacculifer,1,25.40268992455595,1.975369921046429
35,23.235572814941406,-1.78,-86.5,-1.5,ruber,0,23.099346034427327,-0.13622678051407888
36,23.235572814941406,-1.23,-86.5,-1.5,sacculifer,1,23.52468183210821,0.2891090171668047
37,23.25470781326294,-1.53,-85.5,-1.5,ruber,0,23.52937217767614,0.2746643644132014
38,23.25470781326294,-1.23,-85.5,-1.5,sacculifer,1,23.535547294512163,0.28083948124922387
39,23.532283306121826,-1.57,-84.5,-2.5,ruber,0,23.44883999658662,-0.0834433095352054
40,23.532283306121826,-1.29,-84.5,-2.5,sacculifer,1,23.427011366995732,-0.10527193912609434
41,20.644831657409668,-3.0,-84.5,8.5,ruber,0,21.09327545932675,0.4484438019170831
42,20.503868103027344,-2.6100000000000003,-83.5,7.5,ruber,0,21.72900921429538,1.2251411112680373
43,23.28854513168335,-1.61,-83.5,24.5,ruber,0,23.397911283669902,0.10936615198655275
44,23.584181308746338,-1.4,-82.5,-2.5,ruber,0,23.745796132057688,0.1616148233113499
45,23.584181308746338,-0.99,-82.5,-2.5,sacculifer,1,23.919436677378883,0.335255368632545
46,22.465205192565918,-2.1,-82.5,-0.5,ruber,0,22.576222553733313,0.11101736116739502
47,22.465205192565918,-1.91,-82.5,-0.5,sacculifer,1,22.357460700575874,-0.10774449199004366
48,22.46889638900757,-1.602208,-81.5,10.5,ruber,0,23.416233715106543,0.9473373260989746
49,25.423999786376953,2.04,-79.5,-43.5,bulloides,2,26.953151925252794,1.5291521388758404
50,25.423999786376953,0.69,-79.5,-43.5,pachy_d,3,26.087457728089294,0.6634579417123412
51,23.012248039245605,-1.728638,-79.5,13.5,ruber,0,23.198081097525442,0.18583305827983665
52,23.06343126296997,-1.8730000000000004,-79.5,16.5,ruber,0,22.959535627762225,-0.10389563520774558
53,23.06343126296997,-1.418,-79.5,16.5,sacculifer,1,23.211804656050205,0.14837339308023445
54,23.062631607055664,-1.495,-79.5,17.5,ruber,0,23.6017991312917,0.539167524236035
55,23.062631607055664,-1.1949999999999998,-79.5,17.5,sacculifer,1,23.59516511307106,0.5325335060153975
56,25.389552116394043,1.84,-78.5,-43.5,bulloides,2,26.774302239352565,1.384750122958522
57,25.389552116394043,0.76,-78.5,-43.5,pachy_d,3,26.13049768523365,0.7409455688396065
58,24.72170114517212,-1.86,-78.5,-17.5,bulloides,2,23.320276493203398,-1.4014246519687212
59,22.82188367843628,-1.97,-78.5,11.5,ruber,0,22.792612994780423,-0.029270683655855834
